,id,name,popularity,followers,genre,first_release,last_release,num_releases,num_tracks,monthly_listeners
195,0XLOX1kM1vd2wyRqXcCzy6,abrasantia,0,357,opera metal,2012,2017,7,5,66.0
199,29nuitiJu0D1BAvcWurAMO,carina crone,23,1493,"discofox, partyschlager",2015,2023,14,1,30309.0
209,2Kk8m8gNJDOalVnijnJnbx,the scurvies,0,390,christian punk,2007,2007,1,16,64.0
218,2ekdnyZTBKHsLsBFKCY4BI,gianfranco continenza,6,440,italian jazz fusion,2008,2019,3,10,1490.0
221,7uUBTiZ2u5b40vymlFmXrn,george shearing,42,36224,"cool jazz, jazz piano",2002,2024,20,15,395710.0
224,6ZLvZ4YVAEXCkxUMCnF0kZ,fred anderson,3,2273,"avant-garde jazz, free jazz",2001,2012,9,5,719.0
225,41PLS4hpBNijI37EGnUJsx,reclaim the fallen,10,1201,screamocore,2005,2005,1,5,3492.0
230,7HBQPOZB3u0fpuoLZx8uUL,die my demon,1,420,belgian hardcore,2015,2021,5,4,99.0
232,1XC87A3NVlw6xDW1kIB5FN,jess connelly,33,48837,"pinoy indie, pinoy trap",2015,2023,20,4,59233.0
233,7wBARDxiHna2DvaluMrzJp,martin & la talpoj,4,716,esperanto,2007,2023,3,6,330.0
236,41VPDgAS12YOb7hbuj6PxN,dj sticky,17,478,austrian hip hop,2018,2023,17,1,5923.0
237,2U4Lfs1c3FxmwBjUdvCzF3,john frizzell,19,2933,soundtrack,1997,2022,11,1,10015.0
239,3kpwO5KGhMeWcWq6MiGVXN,things of stone and wood,23,5667,"australian alternative rock, australian rock",1993,2020,6,1,26845.0
241,1u7kkVrr14iBvrpYnZILJR,sex pistols,55,1755520,"alternative rock, punk, rock",1977,2022,8,15,1480004.0
242,0O83o1gX0tdXSbJQXCtRMe,kirsty lee james,0,171,hard house,2013,2019,7,1,103.0
247,1o89sVIkln0tQ3Zvl6YTZG,grieved,4,2827,"blackened hardcore, chaotic hardcore",2015,2016,5,1,452.0
251,2njnJKYR93XHdVmI8GT5in,hong kong dong,1,471,belgian indie rock,2012,2017,3,1,165.0
253,2fgl3me4n9diODTrVfruF3,balance and composure,43,139662,"alternative emo, anthem emo, dreamo, emo, grungegaze, philly indie, pop punk, progressive post-hardcore",2009,2023,9,4,196452.0
267,2NsmdSb7jY5k1tp6QS3M9p,the disciples of zoldon,0,24,nz metal,2007,2018,2,10,2.0
268,0TRf2N849pjTs7BUpRUUl3,antolín,14,2282,"argentine indie, uruguayan indie",2008,2024,13,6,3001.0
273,0jq1z5MQSlFtvpbnLzeEul,jazzbois,43,24881,"modern jazz trio, uk contemporary jazz",2019,2023,20,3,230320.0
274,1a8z4Ju7ZgjDRG0w7ORgKk,dezsö ranki,14,449,hungarian classical piano,1979,2021,20,21,3126.0
277,6g7o6V36DTNfW1zsXrYIPZ,robert blair & the fantastic violinaires,8,4278,contemporary gospel,1984,2017,6,1,1055.0
281,44wcqoxgMaaRSvFC83a5R0,山口ひろみ,10,493,enka,2004,2023,20,5,994.0
282,49Jb7NSMLFMM3n8M7BNRxN,marty wilde,29,21873,"brill building pop, merseybeat, rock-and-roll",1959,2024,15,2,62157.0
284,4iSKnRZAxkmqNok6tv10Se,crazy town,57,509407,"alternative metal, funk metal, nu metal, post-grunge, rap rock",1999,2024,20,3,3136400.0
289,5OgMSh48PsYuyRBMmDwEPY,humming bird,10,1020,mecha,1996,2000,5,2,1623.0
292,7rT5vCRSip37zugzc8KN4i,lee kernaghan,47,141527,"australian country, australian indigenous music",1992,2022,20,1,242936.0
293,4Mlw3O6Z8b1f5isDub4hTx,onry ozzborn,23,7854,"abstract hip hop, seattle hip hop, underground rap",2006,2023,13,1,15493.0
297,3Lzhd2CiNCyfTxe1Bt3JrP,zac hurren trio,0,60,australian jazz,2007,2007,1,8,15.0
299,5bVYtdlu0rnBb7UIoZNb3E,black magic fools,6,1633,"gothenburg metal, nordic folk metal",2011,2024,5,4,1551.0
302,2OI6dnFoYNm3ZB0fgU2SfZ,spiritczualic enhancement center,5,1049,neo-kraut,2018,2023,11,4,823.0
303,34LxinR4hpnSBbpdRntAvB,friedrich witt,3,641,"classical era, early romantic era",2005,2013,3,11,454.0
304,7wcrtrCODZkNbpq1ZYABxs,carey bell,28,19874,"chicago blues, harmonica blues",1969,2018,16,15,44628.0
306,4gQsGkfdB4uVrNBqo4MhmI,lump,27,23348,folktronica,2018,2023,12,1,34626.0
309,14stFRB2PwF6QdKNHDdMnh,bye bye badman,26,30441,"k-indie, korean city pop, korean indie rock",2011,2018,9,5,26350.0
312,5YLXhjQdVWkWgW3LEojsrh,put3ska,22,21492,"pinoy reggae, pinoy rock",1995,2000,3,11,23955.0
316,4oTjz34rJX4b6lYQ3K5Tgv,northsiderz,16,6268,hip hop quebecois,2015,2015,1,16,2847.0
318,7iURZ6msGELD5SZqMqKa7G,martin almgren,25,10530,"melodipop, orebro indie",2015,2023,13,1,31803.0
320,0wSbJfUfDDmDmxOaIteZrs,daisy moon,0,447,bristol electronic,2019,2022,2,4,237.0
322,5AEG63ajney2BoDXi0Vb84,bad company,57,1126673,"album rock, classic rock, country rock, glam metal, hard rock, mellow gold, rock, singer-songwriter, soft rock, southern rock",1974,2018,19,21,2214470.0
326,7yJMGh19Mw7vukC8cMPTHO,freezie freekie,0,38,nu electro,2004,2004,3,2,15.0
329,49WBtnIs3VA1tHR7jQG1F6,santino le saint,46,92099,"dark r&b, trap soul, uk contemporary r&b",2020,2023,20,1,396010.0
330,5cB4d4jPYjMT326sjihQ4m,shaan,68,7327233,"filmi, modern bollywood",2014,2024,20,7,11794127.0
331,5APQ9aJeMRhyiLVbHOHLpu,thick pigeon,8,1390,minimal wave,1984,1991,2,14,2074.0
332,5keeQyPKYRxUCKDMECTXG3,black uhuru,44,376456,"dub, reggae, roots reggae",1987,2022,20,12,364181.0
335,4LX0KCPnH7gvxEbVXqXmAE,molly tuttle,46,83414,"folk, new americana, progressive bluegrass",2017,2023,20,1,395988.0
336,3jiOHVFdVQjbSDVeC7RgY7,wir sind helden,53,220009,"german pop, german pop rock, german rock",2003,2024,20,6,1317208.0
340,4GkW3hfTCOdalWw1kJOLcD,szymanowski quartet,15,321,string quartet,2006,2017,12,11,8901.0
342,7zSHQFzTnqpcbrmroB7bvM,colosseum,23,24041,"british jazz, jazz rock, progressive rock, symphonic rock",1970,2023,20,9,14598.0
343,1C2jmWs0zr0lADO4TfccWG,san francisco taiko dojo,0,87,taiko,2015,2015,1,6,25.0
346,0VzFYfDDwb79K5TVr5z0JZ,estampie,27,14580,"medieval, medieval ensemble, medieval folk, rune folk",1994,2016,11,20,39147.0
347,52VJNosS2vYvIhTPs5HCQb,ft-17,5,1003,french death metal,2016,2022,3,11,501.0
348,5SiBQxijnMwUGUYG31gZnS,pedro bromfman,34,10545,latin soundtrack,2002,2023,16,1,164807.0
352,0GwebWlVE6A3NuZfeIrigI,familia caamagno,15,3314,"galego, galician rock",2012,2022,8,2,3740.0
353,5cTOIekpN35mEFm2pLYtBR,reject messiah,0,210,metal ecuatoriano,2016,2020,3,6,36.0
354,6ManwBDLto2d2jMmGM0Gln,jqt,2,1125,k-pop girl group,2010,2011,2,2,343.0
360,0oaOc1sdr4AeSzqL8w5ndo,michael endres,52,1438,"classical piano, german classical piano",1995,2018,20,59,847205.0
361,7mNNpagPwV3xIqNBcxPQQq,falinox,0,113,neurostep,2011,2011,1,2,38.0
363,6ENPa56qolXflGmVbDj1NX,frank ellrich,1,83,hard trance,2004,2017,3,2,291.0
364,3Ek1EdkcbRFvSDJj9j5JXQ,the baseballs,44,229874,neo-rockabilly,2010,2023,20,1,279574.0
366,0sDjEOkd92MdOAeaSFS3Na,san martín vampire,6,1588,pop electronico,2020,2021,5,1,629.0
368,5ZFUMOLRrLkEKTWo4WqKg4,digicide,0,29,spacegrunge,2013,2013,1,10,29.0
369,02qHcQfJCm2XlAnaJ5a6Rh,2scratch,54,213574,traprun,2021,2024,20,1,833987.0
370,3LM0T4GLVcJvGMGDbxyrLE,rilla,28,7222,german underground rap,2019,2024,20,1,13849.0
372,1Zd2jFygzaM9fyijiieSI7,anna & elizabeth,28,12321,modern old-time,2012,2018,6,2,44143.0
376,4c9NYYIAGKWqPDTkoVnGr7,paul buchanan,36,13923,"melancholia, scottish singer-songwriter, solo wave",2012,2020,3,14,80331.0
377,4axjIl2fLU1xnDsC1NB3yI,soundprank,22,7001,"progressive house, progressive trance, progressive trance house",2011,2017,20,2,23935.0
382,2GFB1Lc67mbqFXTPCM9XzT,cornelius brothers & sister rose,42,23590,classic soul,1996,2008,3,2,425905.0
385,71oonoDczgsf0y7fDFrmqy,hurricane heart attacks,3,1802,psych gaze,2012,2019,4,13,312.0
387,22EJkuvSQHaAtTpRfJCE3v,patrick chardronnet,11,2975,melodic techno,2005,2022,20,3,5172.0
388,7iBY1RLWDV5zX9NDNQxurm,tabitha,54,131102,"dutch pop, dutch rap pop",2018,2023,20,1,1072597.0
389,5wYcbpyGZGlUOiNpbLWZTo,das paradies,36,13373,"german indie, leipzig indie",2017,2022,15,2,144919.0
391,7qtubK9xEI56XRpNfSbrdO,the witches,27,8865,"classic israeli pop, israeli rock",1994,1999,4,12,27717.0
393,0mQrna1ecAw9h40iH5uSks,octaviagrace,14,8787,"japanese power metal, kawaii metal",2016,2023,8,5,3691.0
394,11z611FJKQgzj69kVgxbS5,gordon kerry,0,43,australian classical,2002,2004,2,18,59.0
397,5nrmuhl0AXvSLeoZgB3Tmr,zaoui,42,17020,french pop,2022,2023,5,1,194789.0
399,4ZqBlZ0SqiRAOnaVZxcWgE,et cetera,1,435,prog quebec,1976,1976,1,7,178.0
402,46JpdBeitfoEleoCabDawH,rainz,11,65489,"k-pop, k-pop boy group",2017,2018,5,6,4189.0
403,1dkvaiA5WfFxlXw1IsTPFL,hewar,2,491,arabic jazz,2005,2012,3,8,372.0
405,37mtx80nMDETlbsq2eFCzc,fleur east,42,207964,"talent show, uk pop",2015,2023,15,1,439500.0
409,2dhGPk8vSfyz28YKA2yC5w,the eclectic moniker,8,5425,danish indie pop,2012,2016,3,12,2046.0
410,1zFGR4NaBbCDBGwifPKGfM,tomb mold,29,47124,"canadian death metal, cavernous death metal, cosmic death metal, new wave of osdm, voidgrind",2017,2023,12,1,29189.0
413,6xTRrO1neFsGA1URJdG7BL,infinite me,0,960,minneapolis indie,2017,2017,1,6,91.0
414,2cc1Phkb1W5AvZvteumF6P,dj w!ld,9,3162,minimal tech house,2011,2024,20,4,3243.0
415,1N9Xy6x2jTaxMU75aFshoq,tom frager,44,35696,french pop,2005,2023,13,1,597594.0
416,7urhybBC4ni1nnpJbod4l3,phylums,0,155,milwaukee indie,2015,2015,1,12,18.0
417,5PIWabZPdU3YWRMbvD5nQJ,effie,26,10265,korean hyperpop,2020,2023,9,1,12067.0
419,2sSGPbdZJkaSE2AbcGOACx,the marías,70,1186415,"bedroom pop, la indie",2017,2024,15,6,9337475.0
428,1AIWKp6rFXWTtg9n2BsrZX,mordhell,1,850,polish black metal,2011,2011,1,13,166.0
429,04HqRx07Bv9gh7rsrMTqs7,miss li,59,282493,"classic swedish pop, swedish pop",2006,2024,20,1,1683871.0
430,6PcC6VtDurdhu8MoIhwrIF,indah dewi pertiwi,32,114629,indonesian pop,2010,2023,10,1,139512.0
431,2uBR4Yh27WB4rn7t3c4uCX,erika lundmoen,56,122911,"russian alt pop, zhenskiy rep",2018,2023,20,1,1649500.0
435,6i1OfpuILQaPhYzlNx5yBc,new orleans university glee club,0,18,glee club,2015,2015,1,2,11.0
438,2ci4sMz0z9U5l4crPDb4Us,the diggity dudes,0,50,kids hip hop,2010,2012,3,1,98.0
440,4C8lEDj85NWxS4MNCpyp9e,fia fiell,6,898,australian ambient,2016,2022,3,5,1709.0
