,id,name,popularity,followers,genre,first_release,last_release,num_releases,num_tracks,monthly_listeners
2939,2pH43cVCDgQrcO1ZPeVtD6,in my eyes,15,10989,"boston hardcore, hardcore, hardcore punk, straight edge",1998,2000,2,13,5176.0
2941,7GTR2u7JXsRi9ZCytLI3p3,the jasons,16,3829,"diy pop punk, ramonescore",2015,2021,8,3,2938.0
2943,2ke04eDyctUvdLoZUoZdLs,omar sherif,23,2467,"progressive uplifting trance, uplifting trance",2018,2023,20,2,22784.0
2945,0fCzk1idNgYB0ZoITfun28,krum bums,15,9849,"crack rock steady, street punk, texas punk",2004,2011,5,4,3324.0
2946,2607FVBVmA8KsoekiODeYe,joan la barbara,10,1994,"american contemporary classical, experimental vocal",1991,2017,5,19,2950.0
2948,4UF1z8LNsYYj5llfr6QeFc,mark shreeve,1,428,berlin school,1990,1990,1,9,148.0
2949,5KOhn3Gjbd4DUavli5No5f,cotoba,19,8942,"k-indie, korean indie rock, korean shoegaze",2019,2024,12,4,6948.0
2950,65pVaraVKfFXTDkk70wBHO,mistweaver,1,572,spanish death metal,2009,2021,4,10,152.0
2953,6BNaPZdAIZAJnbgJRiZz2w,kill paris,36,58097,"chillstep, complextro, electro house, filthstep, future bass, melodic dubstep, vapor twitch",2015,2024,20,1,158970.0
2955,3aqgtBedEkMJ01p2705wxC,paul abraham,12,365,"german opera, operetta",1965,2016,4,27,4060.0
2957,3jqx3mX6pOHjBTRMMAkuKG,x-noize,23,26187,"full on, progressive psytrance, psychedelic trance",2017,2024,20,1,25212.0
2959,2FubjJw62dSFQsWUANcpt9,marko tolja,21,4008,croatian pop,2007,2024,20,1,11505.0
2960,2u2ajmx7lvJH5UpqMZYjiV,阿朵,10,1737,chinese singer-songwriter,2008,2023,20,1,2300.0
2962,1iNSxnJLtUjaEw75j0XxlT,michelle ayers,8,4968,garage house,1988,2022,4,5,2440.0
2964,3TONYCzAeoUCwR3i1nAQwB,shawn christopher,19,2374,"classic house, diva house",1991,2023,11,3,16590.0
2965,6NCw0TVDOWRcp6bhxXZhrc,notebook p,20,4403,brockton hip hop,2018,2023,17,1,13137.0
2969,3texugXcnrDrTgca9L8Wrs,a legacy unwritten,3,2553,"atlanta metal, progressive deathcore",2016,2023,5,1,519.0
2972,0w0zforHmQIfOx01b6kZYI,enzalla,30,5862,chillstep,2020,2024,20,1,68667.0
2973,3MWHWQjh7wazxY1HwIHgbi,frankenixon,0,144,iowa indie,2002,2004,2,14,67.0
2976,0JwjW1x56tK5hnHvlRSSw9,toss,41,193774,amapiano,2017,2023,17,1,289499.0
2978,3QN8UBnzKTTXeeuKtLhwot,kkpa,5,1051,"swedish punk, trallpunk",1997,2023,11,6,778.0
2980,1DgmdsnwOexqTH8ohPCFAU,volumes,47,178529,"deathcore, djent, melodic metalcore, metalcore, progressive metalcore",2016,2023,12,6,369680.0
2983,3AKIOaRG1CUS6JYtgavz1z,the western den,26,5206,ambient folk,2018,2020,8,1,41447.0
2985,1VmTG1NmumTwTIOGbew6gH,esthero,38,42009,trip hop,1998,2020,13,1,81581.0
2988,3cs1Ri8F5h36tNguE1eXsX,albahaca,29,7314,sevillanas,1983,2017,18,10,38115.0
2990,1ewyVtTZBqFYWIcepopRhp,joey purp,48,136791,"chicago rap, indie hip hop, underground hip hop",2015,2023,19,1,649366.0
2991,0cyhvPv23KSGqLirkaCPyV,sierra león,9,4896,"mexican indie, mexican rock",2013,2022,19,1,2274.0
2994,7J0vmZ5neXBGAoa8s79R9b,dead space,21,4480,"funky tech house, tech house",2019,2023,20,1,20777.0
2995,7Kk4RfdR6TXiBFxkLa32Rt,зимавсегда,17,3723,russian indie,2009,2024,20,1,3287.0
2996,4SHWNw3XdtEyYCQNCqvqqn,jossie telch,13,3470,"psytech, trance mexicano",2015,2024,20,2,5953.0
2997,1uopJjkjoi651rFQjm6KTS,the gentlemen of the college,2,397,college a cappella,2012,2024,8,3,206.0
3003,3dAzSJ9lQnJSq5Z0OgDBep,brad kane,53,11473,movie tunes,2022,2022,1,6,1730457.0
3010,00pEgqvsfzgXWFQ00kwzbX,electric company,3,741,"ambient pop, deep idm",2000,2004,5,14,524.0
3011,1VJ0briNOlXRtJUAzoUJdt,fisher,74,898026,"australian house, house",2017,2024,19,3,13516571.0
3012,6SUSECiKAbiTLIUySSvzTx,rikard wolff,25,6988,classic swedish pop,1997,2015,13,1,28933.0
3013,0mF4w4lRBkeq89EwZpcQBo,omegahertz,1,530,goa trance,2009,2015,7,3,92.0
3017,6Sm7cJ4MVMohAkynq7uEhS,the goners,4,1886,swedish hard rock,2019,2020,4,1,712.0
3018,55LVJSLOfFssxvLWKb6gt9,worlasi,26,35274,ghanaian hip hop,2017,2023,20,1,13596.0
3023,71JJal5W3D0YNB3IUPfIE3,aze,34,8351,bedroom r&b,2023,2024,20,1,36676.0
3028,5IuVILIHmUS552Bj0K3vQx,mantic ritual,10,11312,"new wave of thrash metal, pittsburgh metal",2009,2022,4,1,2846.0
3031,0T5bVItjFHiMPBL1EFf6Nw,alberto mizrahi,3,531,"judaica, sefardi",2006,2017,20,10,1304.0
3037,481U7FXn2fSb0YXFqKdYtO,tom ashbrook,39,13264,neo-classical,2020,2024,20,6,207035.0
3038,72CfUWijSO70QIucWRXv9V,runaround kids,0,129,west yorkshire indie,2009,2012,7,5,29.0
3041,0SC0umMk5cSHBN8zAVc4TA,tifa,30,40063,"dancehall, dancehall queen, riddim",2018,2024,20,2,82914.0
3046,04kcokUKRXC8btCcOMLi8z,chimène badi,42,172233,"chanson, french pop",2003,2023,19,1,260956.0
3051,3CDdOEslmKpMVXmysAWtt1,girih,6,1528,american post-rock,2018,2023,3,1,686.0
3053,6dAW16WrFVBvMtjszckY5m,jenna bågeberg,4,590,finnish tango,2007,2011,2,11,753.0
3057,2vba8LVCMO72UEnng6a3pW,cerekloth,0,419,"danish death metal, grisly death metal",2013,2013,1,8,40.0
3059,47sRXCaEQvZEo5zNLSGTqq,anveld,16,154,flemish folk,2023,2024,20,2,9497.0
3062,5VJxJ1utvXvjDV14FzaeN4,josh island,15,659,luxembourgian indie,2018,2023,14,5,4449.0
3063,08GQAI4eElDnROBrJRGE0X,fleetwood mac,81,11130760,"album rock, classic rock, rock, soft rock, yacht rock",1975,2023,20,15,33287606.0
3067,6Jc8s9zhHc6nGsLm4TX5rT,hellsuckers,0,49,deep melodic hard rock,2006,2006,1,12,16.0
3071,3qMz1FPJjjQpYpLgUNruJQ,die wörtherseer,5,635,"discofox, volkstumliche musik",2005,2022,16,1,573.0
3073,3vh8N8IcJnKYUCq2gdqewc,ress,24,5313,magyar trap,2018,2023,18,1,10986.0
3076,5SwUeb4XF46E6uqRIRFPs4,função rhk,24,36344,brazilian hip hop,2006,2024,20,1,6642.0
3080,6TPmpNJTVXsPvqtlYztNkC,punchline 13,0,202,quebec punk,2015,2019,7,1,42.0
3083,2gyk8wYChmm41Fvq6TYBjM,regn,40,269,rain,2020,2022,7,3,169928.0
3085,3FlricX5K9yXqF8GjaA1hI,future states,0,208,ottawa indie,2014,2018,6,5,37.0
3086,7BrrcOKe9ymT5md3Up7BRz,spooky mansion,41,28913,bay area indie,2016,2023,16,5,369949.0
3087,5IIYQAWjdFmqkb71mggejW,sergio rodríguez,24,1240,metal cover,2021,2024,20,1,25344.0
3090,3WRsF4v44gZjal7SHftil4,pnd,16,2320,latvian rock,2008,2023,8,1,6986.0
3092,5klgvjzylG3155kPHB2UiL,euro crack,5,1934,suomirap,2013,2013,2,1,792.0
3095,7xuzwG9aC7R0ftU6OSs6pX,ls jack,47,187124,"brazilian rock, pop rock brasileiro",1999,2024,12,1,678388.0
3097,0gAIJXF6MBcWecLAfdMQVK,idle pilot,0,82,boston indie,2015,2023,6,1,11.0
3101,6HZqdaj8X8h6gMTPlD6EPR,the dali thundering concept,24,22391,djent,2014,2022,11,1,17891.0
3107,1MwKSuZPrkfVHmGLkQRpcA,exploding white mice,4,2451,"adelaide punk, australian alternative rock",1996,1996,1,12,681.0
3109,6HKV18fbiZPLNSoTUnTALb,anton ewald,32,17833,"melodipop, swedish idol pop, swedish pop",2013,2023,12,5,87435.0
3113,7enXRHqXItdKTcGD4eTInP,gas chamber,1,460,technical grindcore,2014,2021,2,1,120.0
3119,3G5zQYaRH9y6ruE4QnoITP,stephen hough,42,9505,"british classical piano, classical piano",2014,2023,20,28,307988.0
3124,2TbbmB7fmmCN7rlOt1wHlC,vincent neil emerson,45,43251,"alternative country, roots americana, southern americana",2019,2023,20,1,348131.0
3126,1NbvzJIVxhFij4Wo6z6jb2,omar perry,23,6617,"french reggae, modern reggae, traditional reggae",2007,2024,20,1,23341.0
3133,5hHb94E46OuMyLRva54HYk,チャクラ,12,4135,japanese new wave,1990,2020,3,8,2408.0
3136,00Af3oygT0HC6ld0c2HwFX,tobacco city,25,4066,midwest americana,2019,2023,10,4,30622.0
3137,2h9VgLswbVrXfdjW8UVqHC,grupo 360,61,1166201,"corrido, corridos tumbados, musica mexicana, norteno, sierreno",2015,2023,20,1,3042053.0
3138,6rEhRctxHPuyNH7T1MECMr,captain hedge hog,14,2811,japanese melodic punk,1997,2002,5,4,2204.0
3139,3kgIEdcRbryeIu7jqkZvUi,ascète,1,312,french black metal,2021,2023,2,4,143.0
3144,5CXJjtJyM27JXUYcTR0HCP,vainerz,2,535,"dark electro, deep neo-synthpop, neo-synthpop",2012,2022,9,5,424.0
3147,36sdQhQWpk9MntF8u7qNGo,mark guiliana jazz quartet,24,21595,"contemporary jazz, jazz quartet",2015,2015,1,9,32165.0
3148,0BMYnr9XPfdEL8gWvcfivC,meaning of life,0,71,central american metal,2018,2018,1,6,30.0
3152,1cRTNFbSHeoVdpbNRy6bSO,giovanni bottesini,24,4730,"italian romanticism, late romantic era",2012,2023,20,10,22681.0
3153,77mKTvIdncT6unUrOp5BeJ,john holmquist,16,626,classical guitar,1997,2001,3,31,11175.0
3154,6mLtSiWnsetUanX2AQ4mS4,carol cleveland sings,14,1790,bedroom pop,2016,2023,2,3,2743.0
3161,3bRGJQd7b4lE3ZAEMfOXJp,luidji,63,553522,"cloud rap francais, french hip hop",2017,2023,20,1,1610965.0
3163,0GtwtFjgSrPbiNp1UQaWFo,yearbook committee,0,153,indiana indie,2010,2012,4,4,136.0
3171,42qMtfoflZhlVvy4629tam,endif,0,219,power noise,2008,2008,1,12,40.0
3172,578AoGutM9RBwdel2OzfSq,redeemed thought,7,1978,gospel rap,2007,2007,1,21,246.0
3173,0Fxh7lSWIVOt1oX0A10ifB,the wolfhounds,7,3023,c86,1987,2020,11,4,1691.0
3175,2bAFYlcHVIgnOLqxDk212U,suzanne palmer,21,5432,"circuit, diva house, tribal house, vocal house",2004,2023,20,7,8418.0
3176,21m5PZPUgSF0k76W1MMCAa,vivii,30,10490,swedish folk pop,2019,2022,20,2,50862.0
3180,5RnUS48fC3nHEjbKeb8TPz,renni rucci,40,176652,"south carolina hip hop, trap queen",2019,2023,20,1,223392.0
3181,2QQCbLVwanduhuhPhfCuE5,edenian,4,1589,gothic doom,2012,2014,3,5,460.0
3190,0f7NckdSKjs5If4toJfr06,setting color,0,253,indiana indie,2015,2022,6,2,30.0
3191,4E7LJKlq8PY1dEZKbgPJgw,tony ronald,40,29878,"pop romantico, spanish invasion",1969,2015,10,12,194525.0
3193,3aq28z1G2uM5EPEOsPhPQS,stadler quartett,2,54,streichquartett,2007,2016,5,3,307.0
3195,3NEQ5t2FprBMLmDAP0EPcE,sam the kid,48,136521,"hip hop tuga, rap tuga underground",2002,2023,20,1,294223.0
3196,0d3ov5J6VYAp8FVA77MCDq,carthiefschool,4,966,japanese screamo,2020,2023,5,2,282.0
3197,1PW0zWvKLUKl0rra9DFVJi,sam lay,11,378,chicago blues,2005,2005,1,10,651.0
3206,1GAS0rb4L8VTPvizAx2O9J,atmosphere,55,658696,"alternative hip hop, conscious hip hop, minnesota hip hop",2010,2023,20,12,910170.0
3211,7Ga404k4zEweLxPtX0Ghma,marian mcpartland,32,11919,"jazz piano, library music",2002,2022,20,19,71164.0
3215,7Gx2wDVHyW5HJh7dc2t5h7,lil zey,55,423707,"turkce kadin rap, turkish hip hop, turkish trap",2019,2023,18,1,1204845.0
3217,6Hm1bZrTHvaptNOGa5YNWJ,hitori tori,12,1164,"breakcore, drill and bass",2010,2023,13,2,4596.0
3220,1Q6CDBTFFKnanZ20DS2QnQ,reggio,31,13000,"big room, sky room",2021,2023,20,1,80410.0
3231,4MTtrk5OIUDYSekXlzQAMd,santa muerte,16,1660,"deconstructed club, experimental club",2016,2019,4,4,10008.0
3232,4JvrSYK3Gq0qEKvdZyOWhj,jerome hines,10,317,classical bass,2014,2022,18,28,1107.0
3236,3wGRXHdFCbyHhyVbdAWNrd,los titanes de durango,59,1063499,"corrido, musica mexicana, norteno, sierreno",2009,2023,20,10,2560797.0
3247,7vuA79nxHGzmYEeKXAEDVX,lyman woodard,0,232,hammond organ,2011,2020,3,5,442.0
3249,2asUxb88gXBYtoSCqpL9jJ,worms of the earth,3,679,ritual ambient,2013,2023,8,3,923.0
3254,4nqAX0s4vyioXYg6xy7tG7,strax,5,552,"classic icelandic pop, icelandic rock",1987,2020,5,1,898.0
3257,5hK4mAtFgNriBLvV0iFh5i,fischermanns orchestra,0,1231,swiss jazz,2012,2022,11,1,164.0
3258,0s1UvEVuTCFAfuQN3Ov2xu,neymar dias,14,1725,viola caipira,2011,2024,10,1,3353.0
3259,4hJpETVqz3jIrAH1WUzGEj,the high & mighty,36,23082,"philly rap, turntablism",1999,2018,5,19,181587.0
3262,0w2MvntXz3P5Ko3oslGJoG,fats navarro,33,16105,"bebop, jazz trumpet",1958,2023,20,1,86420.0
3263,6eXbMelzsLLx9kfpg2sIqg,lachaise,0,179,fallen angel,2012,2012,1,9,17.0
3265,6suWF4cdNskCowHfbcZl5q,ifadeo,0,50,c64,2011,2012,2,4,2.0
3267,0LikRZIcLgKr4L7a37xpmx,harjit harman,47,566112,punjabi pop,2002,2024,20,1,606264.0
3269,4rFKWPGHB2mLGWa9EQBS48,bebo best,31,5051,electro swing,2007,2024,20,1,54554.0
3274,3ZWEF6lXz09or6OlJGxYAu,jill gomez,7,185,classical soprano,1966,2015,10,32,728.0
3275,3HMsQNXUa0je3yG5REHkQ7,"oh, sleeper",38,105909,"christian hardcore, christian metal, christian metalcore, melodic metalcore, metalcore",2007,2019,10,5,113150.0
3277,79V1EiUrtTyJHQNSKXZC7X,malkit singh,42,408292,"bhangra, classic bhangra",1997,2021,20,11,363154.0
3280,06WyIm2la1sB8sKdfWAvU9,iva zanicchi,37,34196,classic italian pop,1972,2022,20,8,139842.0
3284,6SH3EdbVTnQ77M6PPJjFPg,anormic,5,598,"deep psytrance, psytech",2021,2023,4,8,734.0
3295,1go9tNzsvkMdk5MfjFooCH,bhundu boys,16,12074,"afropop, chimurenga, sungura, zim urban groove",1987,1993,3,11,6709.0
3297,5DXR26brX5peyaGxfx97RA,hexfire,0,78,ambient psychill,2011,2011,1,10,8.0
3301,4TIFXy7qWdihkxk2GEdsyp,lx24,42,203185,"russian dance, russian pop",2016,2024,20,1,185236.0
3302,5oCjNbbacSWPgnNTEG71EY,twenty centuries of stony sleep,1,106,calgary indie,2008,2022,5,5,29.0
3308,1rnovQohVJH2iw8vJn0BTt,dj ak,25,5795,popping,2008,2023,20,1,21667.0
3309,0RGstRAHglCFws2h096TFM,trần mạnh tuấn,20,18468,"viet instrumental, vietnamese pop",2003,2024,17,1,3694.0
3310,74pi4wcNMJ20RYsbbEmA46,jeff pearce,29,5465,"ambient, chapman stick, deep ambient, drift",1996,2024,20,1,21453.0
3311,0803Rut1PDac7orC81qCzE,astral son,1,778,"deep space rock, indie psychedelic rock, space rock",2014,2023,5,8,174.0
3314,0xNAWavJQKhOxqGUTuURQf,kill the moose,0,101,"french shoegaze, nice indie",2018,2018,3,4,49.0
3316,5kyVx17cWl8rP63IPgyAb6,spailpin,17,792,irish pub song,2012,2012,1,15,15023.0
3322,6FEYGjQTtWMIuArvKoJzBy,stéphanie blanchoud,8,651,belgian singer-songwriter,2020,2022,5,1,1397.0
3323,0sm4ElBrt1BhoJQXwX7ATK,el rojo,5,2040,italian stoner rock,2018,2022,6,6,1187.0
3330,2Ug4u2jd2Igd5yVqHCSeTX,common children,6,2258,"christian punk, deep christian rock",1996,2001,3,12,612.0
3333,1RVFLX2R4STIvW289PpzCE,teresa winter,8,1359,electra,2017,2023,4,1,1030.0
3335,6vSbU4nmdGL5puwiMOhkAZ,myrna hague,6,265,vintage reggae,2014,2014,1,12,1966.0
3337,2MaqyTrc7HzuYvLnvfhxIN,mariene de castro,53,107503,"samba, umbanda",2005,2023,20,1,1414595.0
3338,6j5USTsD0qPR64nNEnJwIH,aldo tagliapietra,3,580,italian progressive rock,2011,2017,5,10,328.0
3339,1PlWf6idMAz65Luiq6aOY9,stela cole,53,168638,alt z,2019,2024,20,2,1009691.0
3341,4Hv8naKkLxWrfxkRMPz5bM,péter nagy,49,1556,"classical piano, hungarian classical piano",1988,2019,20,12,897636.0
3345,5LMUqcBh1sXY6vbkzeOY6O,mercy rule,0,211,alternative pop,1993,1998,3,10,83.0
3346,4VWYsx7VsRf0Ir5UUT6pMk,camila sapin,12,971,rock uruguayo,1999,2023,19,1,1577.0
3357,0FSuo59OpaJZKLwp3lgt4D,trailer choir,23,12211,redneck,2008,2018,7,6,29585.0
3359,0sTKzchwhD0qdvPy7ivoon,human vivisection,5,5849,"belgian death metal, slam death metal",2016,2020,2,11,1006.0
3360,6ahZTaoJs2D0gcscsEx64r,sarah shook & the disarmers,35,36443,"alternative country, deathgrass, new americana, north carolina roots, queer country, roots americana",2017,2024,15,1,81071.0
3364,68etl27NtWBZnyKKtzeLl7,jack the radio,6,801,north carolina roots,2011,2023,16,1,1643.0
3365,1vS1ZN2wrTyVdWHDgoZLVE,yuzion,29,20293,korean trap,2019,2024,10,1,17109.0
3368,0RU0lqyex3O6bN2GpPEtZQ,triumpher,9,1685,nwothm,2023,2023,1,10,1067.0
3372,1CdZCC1frNAQhGgSzWu240,saunder jurriaans,17,2196,soundtrack,2012,2023,17,3,9661.0
3376,24SHVNrCbyz312qb1i9kCY,wearing scars,22,7854,gymcore,2014,2015,2,1,15997.0
3378,5PCHHg5ZvtkZlYJNNUU9Q1,platon andritsakis,12,910,world chill,1999,1999,1,12,4611.0
3381,0ucTAETujkdbQzrYXSMGly,orquesta la palabra,38,10085,"salsa international, salsa urbana",1985,2023,13,1,225721.0
3382,0X0o5wsXqn6uunus02kGvF,el santo,19,3063,spanish hip hop,2013,2024,8,3,5100.0
3384,030q9tYMZs82CHR8DV9Fid,espacio dios,26,3701,"south african hip hop, south african r&b",2018,2024,20,1,42471.0
3387,6KVnMm856M8CHHBCw53Ihh,natalie grant,51,484366,"ccm, christian alternative rock, christian music",1999,2023,20,1,873920.0
3390,0dGzAgNsJKrdHN3Fir9BCe,little ann,25,6190,"deep northern soul, traditional soul",2016,2020,3,2,36175.0
3391,6EfOhqo1eJ8sXexj9jzRaq,xservitudex,8,4259,"h8000, metallic hardcore, vegan straight edge",2018,2019,2,5,1498.0
3392,5HintvHxi0uDBgNaRKWZOt,str4ta,27,15150,"acid jazz, broken beat, indie jazz, uk contemporary jazz",2020,2023,19,2,44017.0
3394,0y9QCkzo0eL7zjEvkmauhP,actus,0,203,"martial industrial, neoclassical darkwave",2010,2011,2,11,60.0
3399,5HcGgVIoLDs8PbHbsiU3ov,vromb,2,883,power noise,1996,2022,13,3,214.0
3401,3lyW79oolCj6PAaLUqnze5,gud,46,31068,"cloud rap, drain, substep",2014,2024,12,4,344807.0
3405,54JR4DRWJwkXEMeTETDwuZ,porter brook,1,534,uk bass,2020,2023,3,5,251.0
3407,29MYJS5HQIOZaCCj51ypk3,jimmy lee young,1,104,native american contemporary,2001,2011,4,11,46.0
3408,6mtABo05yeYtPftYEVfGoV,clown core,42,107755,breakcore,2010,2024,5,4,146466.0
3409,3say7qPpfTJlo8bxcpHQkc,jacques herb,29,7711,"classic dutch pop, levenslied, nederpop, vintage dutch pop",1972,2024,20,11,41581.0
3410,5Oe64qEJrq2CWWf4U90lFD,dobri isak,12,1364,balkan post-punk,2021,2021,1,17,1537.0
3411,5mlPiCqcoz6pDrRj90xbJ2,vnm,40,67422,polish hip hop,2011,2024,20,1,175922.0
3413,36bgHoykshtpmokPxiGfBA,kristofer åström,19,9376,"norrbotten indie, swedish americana, swedish indie folk, swedish singer-songwriter",1998,2021,20,4,10085.0
3417,5wSIuvDK8k3LWR4NEZy2cs,rizon,13,2331,gospel reggae,2011,2020,12,3,3471.0
3421,68RHz1ExombwfxIEhCnSek,komintern sect,19,5603,"french oi, oi",1983,2021,6,6,5259.0
3423,33bos49K745wYZoOz0caWQ,toheart,14,28712,k-pop boy group,2014,2014,2,6,5863.0
3427,12ZOHgIYkZiwd9w9F7I83e,the quantic soul orchestra,46,65771,"bboy, instrumental soul, trip hop",2003,2020,13,2,553545.0
3431,0TGmrHFinsuhSBMHqiEINl,bernard cazauran,1,75,contrabass,1993,1996,2,11,288.0
3435,0teZDGivRVrcIf28rs9xVw,lauri saatpalu,10,671,estonian pop,2020,2020,3,10,992.0
3439,3weGdWrlXcB3pcoctU1BDK,kopps,37,9601,"gauze pop, rochester ny indie",2014,2023,20,1,48670.0
3442,4ZYfJQ4ifRU9q4zGCY9cLJ,when nothing remains,11,5905,"funeral doom, gothic doom, swedish doom metal",2012,2016,3,9,2180.0
3443,0xJuAKhVgEfuiEXjyLEuC6,dennis bovell,30,15214,"dub, library music, reggae, roots reggae, uk dub, uk reggae",1976,2023,20,1,54432.0
3447,7dl9xeD8jLQYMQyCfpK8TE,bmx bandits,16,7086,"c86, scottish indie, scottish new wave, scottish rock, tape club",1996,2024,20,4,6415.0
3451,2AMF8y2hNyoUtjLuyHZjDu,dj t-1000,8,2884,techno,2012,2023,20,3,2293.0
3455,0UqAPNk5Q7nLF2kb2b77DG,los trovadores,15,9909,"folklore argentino, polca paraguaya",1966,2022,17,1,4387.0
3458,7DruTvBV7owt1aSAZHsU58,viola beach,42,135540,"english indie rock, warrington indie",2015,2016,3,1,276985.0
3459,2MR6cssG6XCiKDbQnmerDM,kurt atterberg,16,1995,"early modern classical, swedish classical",2000,2023,20,5,6004.0
3461,6RhsbxbsDk5ypSXFkS41J4,marlowe,33,27693,experimental hip hop,2018,2023,16,1,66151.0
3467,6Zn6lC8FR5OVpGZseIUGw9,the hi-jivers,14,2851,neo-rockabilly,2019,2023,6,6,3500.0
3469,5U6UpI8U8YvSLa6wYGQ4kE,goodthink,0,355,instrumental djent,2012,2012,1,11,61.0
3474,2bxhkkVpfdJIWVD58EM9h2,the white boys,7,1720,comedy rap,2014,2014,1,8,2127.0
3476,7ogL64FibITJvIZLqp14il,lucy van dael,44,1218,baroque violin,1982,2022,15,10,407116.0
3480,0ktM7PMneJlD9FdEX9SSpZ,paranom,34,1313,boston hip hop,2012,2023,10,3,61009.0
3481,5uM85CAltYaoSjziWcTaQV,carlo zardo,2,77,italian bass,2008,2012,3,15,436.0
3483,1JuNbnzQ7k4qTd6x1cyKpq,john playford,32,1666,english baroque,1980,2024,10,1,70201.0
3485,4z2Vz3ViHD8xthnvhDIOqw,natural radio station,25,3878,j-reggae,2015,2020,9,1,22222.0
3486,3NF6UnD0jD8UYkhRVmpf9O,opiate,18,3323,"danish experimental, deep idm, indie electronica",1999,2004,6,3,9664.0
3488,2ZhKeUJs5r2mYsFCLK35zF,enamor,14,641,aesthetic rap,2019,2024,20,1,4036.0
3495,1ZJvhkmB8DGtY5SbMXD40t,dead dred,22,1513,jungle,1994,2022,9,2,30399.0
3497,2wJ20QLwyZbc5xYnJSABW3,mc paul barman,20,8537,new jersey rap,2000,2022,13,6,11429.0
3502,12fRkVfO2fUsz1QHgDAG3g,julia jacklin,54,285796,"chamber pop, countrygaze, indie pop, sydney indie",2016,2023,16,1,1162199.0
3506,3YQGeW6uL6N31K5ejkBrq3,gordon thomas,0,53,outsider,2009,2023,2,11,47.0
3510,09lMeNRN7IAcfmSwJdEekK,lr,35,3223,uk drill,2020,2022,4,1,107770.0
3513,0gA3aqwYpjZcgxnZZahNbg,musta surma,3,2596,"cryptic black metal, finnish black metal",2007,2007,1,12,545.0
3518,2nUCz1Gxey15KnoFpeoOoy,teacha dee,27,6391,"modern reggae, reggae fusion",2006,2023,18,1,35560.0
3529,4soeY2XsQLE6yEW2Dcg2lp,cristal y acero,9,2698,"hard rock mexicano, latin metal",1990,2023,8,3,1879.0
3533,5YUQk45IjdzzQ49G1Txzkk,horse the band,28,56081,"nintendocore, trancecore",2003,2020,7,5,26306.0
3534,6aWRSPmE7QcpqYJPbTnd0a,mark wyand,0,158,german jazz,2007,2012,3,1,86.0
3535,4nx194YMhKEOO8WJWagjll,ne-hi,12,8205,chicago indie,2014,2019,13,1,6282.0
3536,1UBc8Hb8c54RMdYT2cRonw,knights of the abyss,16,21614,"deathcore, melodic deathcore, melodic metalcore",2007,2023,9,2,5426.0
3544,0QwH5InvCwfL4UbYkjP9pi,bark psychosis,29,32723,"british post-rock, post-rock, shoegaze, slowcore",1990,2023,13,2,42388.0
3545,7HC4Kxla1YJQvZu9PE3NyQ,curve pusher,1,200,hard house,2013,2022,20,1,159.0
3547,7L6HEUuXss9tFpSsliHpmp,glice,0,109,dutch experimental,2015,2021,14,4,238.0
3549,3r66hAPAD8S98YBno8a5fD,imperial state electric,26,24085,"punk 'n' roll, swedish alternative rock, swedish garage rock, swedish hard rock",2010,2018,13,2,20294.0
3551,0PsTewblEJFN5oC1Qb7IwX,hotel books,36,108525,slam poetry,2014,2022,14,1,76642.0
3553,0cR4gBrPs4M7YJesqcHpqr,earth calling angela,7,1941,"corrosion, gothic rock",2007,2012,2,14,1734.0
3555,46BRxNk0dLvm0PyPb9gOZr,alasca,4,1461,dutch indie,2012,2018,9,2,675.0
3556,50KZQ7hZ46B2WcAcEwb8md,jeremy filsell,20,1171,"british classical piano, classical organ",2000,2023,20,79,4479.0
3560,2MyoBvN8HLa4o1NqFZ5Iuk,self-evident,3,1331,math rock,2001,2021,10,6,219.0
3562,3jZ33Dh8zdoNOso5TUmPMt,clément belio,11,1181,prog metal,2019,2023,2,1,396.0
3564,4mRHoldvjjuU6HZeMIFg7M,shadowquest,8,5182,symphonic power metal,2014,2020,6,1,1592.0
3566,6McXmoIhUTNwdyzXBLWAG2,toots hibbert,27,6092,reggae,1988,1988,1,10,22156.0
3567,1GImnM7WYVp95431ypofy9,caifanes,70,3608290,"latin alternative, latin rock, mexican rock, nu-cumbia, rock en espanol, rock urbano mexicano",1988,2023,10,1,6158039.0
3569,0bOR78IANHTrHwd0kezriG,jasper james,14,4799,"scottish electronic, uk tech house",2015,2023,11,3,7007.0
3572,69MACpHHQg9ovd1retYWPq,chicago farmer,21,5209,midwest americana,2013,2022,8,1,15839.0
3573,0JIMhbNg4VwToE3unSL3C4,bobby cruz,44,87392,"boogaloo, salsa",1981,2021,20,8,475033.0
3583,5TJFq5X7Rnt4kRSiOtU0xI,heinz de specht,10,1312,mundart,2007,2015,5,22,1257.0
3588,6kpTmMU9uSLOoJ6C95MVXh,orquestra romântica brasileira,15,1774,romantico,2013,2013,20,14,2811.0
3592,3GaBdSCZghGSD6CZMayUeK,phantasm,27,1007,viola da gamba,2003,2024,20,18,35828.0
3610,3CdJAOpCdHfk9U9B5uZdhT,janusz radek,30,16285,"classic polish pop, poezja spiewana, sung poetry",2009,2024,8,1,52673.0
3614,25s9H1JQmTu3iuFzpXWUIg,stephan moccio,56,43835,background piano,2020,2024,20,1,1756482.0
3617,3xQiLcsmj0KCiFtconY6Dz,demi portion,42,89831,"conscious hip hop, french hip hop",2009,2024,20,1,178629.0
